,SEASON_ID,GAME_ID,GAME_DATE,HOME_TEAM,PTS_HOME,MIN_HOME,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,AWAY_TEAM,PTS_AWAY,MIN_AWAY,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,WINNING_TEAM,HOME_TEAM_ELO,AWAY_TEAM_ELO
27,22014,21400031,2014-11-01,WAS,108,241,40,73,0.548,4,13,0.308,24,33,0.727,6,28,34,28,18,5,19,21,11.0,MIL,97,241,34,80,0.425,9,22,0.409,20,24,0.833,16,26,42,18,11,3,27,28,-11.0,WAS,1501.54,1498.81
28,22014,21400036,2014-11-01,OKC,102,241,37,80,0.463,6,20,0.3,22,31,0.71,6,35,41,24,8,6,13,20,11.0,DEN,91,239,35,80,0.438,7,26,0.269,14,20,0.7,11,30,41,19,4,10,17,26,-11.0,OKC,1500.03,1500.13
29,22014,21400027,2014-11-01,NOP,104,240,38,89,0.427,7,19,0.368,21,28,0.75,14,33,47,24,8,4,13,19,-5.0,DAL,109,240,46,89,0.517,6,25,0.24,11,19,0.579,11,33,44,25,4,6,12,25,5.0,DAL,1500.12,1501.65
30,22014,21400030,2014-11-01,PHI,96,239,35,67,0.522,7,23,0.304,19,26,0.731,4,33,37,28,9,10,24,21,-18.0,MIA,114,240,41,83,0.494,12,24,0.5,20,29,0.69,9,26,35,33,16,0,16,20,18.0,MIA,1495.23,1503.26
31,22014,21400028,2014-11-01,CHA,69,240,26,72,0.361,4,14,0.286,13,18,0.722,5,39,44,17,10,4,20,16,-2.0,MEM,71,242,29,80,0.363,3,11,0.273,10,13,0.769,9,36,45,16,8,0,18,22,2.0,MEM,1500.01,1504.36
32,22014,21400034,2014-11-01,HOU,104,241,32,76,0.421,12,34,0.353,28,40,0.7,10,39,49,20,9,8,17,24,14.0,BOS,90,239,37,98,0.378,1,25,0.04,15,18,0.833,14,30,44,20,10,8,10,26,-14.0,HOU,1504.8,1500.12
33,22014,21400037,2014-11-01,UTA,118,241,42,88,0.477,7,26,0.269,27,33,0.818,13,39,52,19,10,6,13,15,27.0,PHX,91,241,36,87,0.414,7,31,0.226,12,15,0.8,6,28,34,17,8,7,11,22,-27.0,UTA,1498.47,1501.67
34,22014,21400032,2014-11-01,ATL,102,240,35,69,0.507,7,20,0.35,25,33,0.758,3,34,37,26,10,6,12,20,10.0,IND,92,240,31,81,0.383,12,32,0.375,18,21,0.857,11,33,44,25,5,5,18,26,-10.0,ATL,1500.19,1498.54
35,22014,21400029,2014-11-01,ORL,95,240,38,81,0.469,7,20,0.35,12,24,0.5,9,31,40,25,3,7,14,37,-13.0,TOR,108,240,33,83,0.398,4,21,0.19,38,48,0.792,15,35,50,13,4,4,7,21,13.0,TOR,1495.14,1503.15
36,22014,21400035,2014-11-01,MIN,105,242,38,85,0.447,4,12,0.333,25,31,0.806,13,29,42,26,9,4,10,29,-1.0,CHI,106,239,33,69,0.478,9,23,0.391,31,40,0.775,5,33,38,15,3,8,14,24,1.0,CHI,1498.81,1501.47
37,22014,21400033,2014-11-01,DET,90,241,32,76,0.421,1,17,0.059,25,35,0.714,10,31,41,21,3,3,7,15,-12.0,BKN,102,240,42,87,0.483,7,26,0.269,11,13,0.846,12,36,48,18,3,3,8,23,12.0,BKN,1495.43,1499.95
38,22014,21400040,2014-11-02,MIA,107,239,35,70,0.5,9,24,0.375,28,38,0.737,11,32,43,22,6,6,16,29,5.0,TOR,102,241,37,79,0.468,4,16,0.25,24,39,0.615,9,19,28,11,8,5,10,28,-5.0,MIA,1504.84,1501.78
39,22014,21400039,2014-11-02,LAC,92,241,33,88,0.375,9,31,0.29,17,21,0.81,11,24,35,23,10,7,8,25,-6.0,SAC,98,239,34,68,0.5,3,10,0.3,27,33,0.818,9,37,46,21,4,11,19,22,6.0,SAC,1501.39,1501.32
40,22014,21400042,2014-11-02,POR,90,240,37,92,0.402,7,27,0.259,9,14,0.643,17,39,56,20,9,2,19,19,-5.0,GSW,95,241,36,81,0.444,6,19,0.316,17,21,0.81,7,34,41,22,11,7,17,16,5.0,GSW,1498.65,1504.71
41,22014,21400041,2014-11-02,NYK,96,240,39,78,0.5,8,16,0.5,10,17,0.588,8,27,35,23,5,0,12,26,3.0,CHA,93,241,33,70,0.471,6,15,0.4,21,29,0.724,8,30,38,20,7,2,12,16,-3.0,NYK,1501.16,1500.01
