,TEAM,SEASON_ID,Average_PTS,Average_MIN,Average_FGM,Average_FGA,Average_FG_PCT,Average_FG3M,Average_FG3A,Average_FG3_PCT,Average_FTM,Average_FTA,Average_FT_PCT,Average_OREB,Average_DREB,Average_REB,Average_AST,Average_STL,Average_BLK,Average_TOV,Average_PF,Average_PLUS_MINUS
15,BKN,22019,111.77777777777777,242.80555555555554,40.388888888888886,90.25,0.4484444444444445,13.069444444444445,38.138888888888886,0.34509722222222217,17.930555555555557,24.055555555555557,0.7464999999999999,10.63888888888889,37.263888888888886,47.90277777777778,24.458333333333336,6.444444444444445,4.486111111111111,14.527777777777779,20.97222222222222,-0.5694444444444444
16,BKN,22020,118.56944444444444,241.80555555555554,43.138888888888886,87.34722222222223,0.4953888888888889,14.166666666666668,36.111111111111114,0.38902777777777775,18.125,22.541666666666668,0.8035833333333333,8.88888888888889,35.54166666666667,44.43055555555556,26.791666666666668,6.722222222222222,5.263888888888889,13.11111111111111,19.041666666666664,4.5
17,BKN,22021,112.90243902439025,240.91463414634148,41.97560975609756,88.42682926829269,0.476719512195122,11.463414634146341,31.731707317073173,0.3596463414634147,17.487804878048777,21.71951219512195,0.804,10.292682926829269,34.09756097560975,44.390243902439025,25.25609756097561,7.097560975609756,5.463414634146341,13.243902439024389,20.365853658536587,0.8048780487804879
18,BKN,22022,113.35365853658537,240.5609756097561,41.451219512195124,85.09756097560975,0.48848780487804877,12.78048780487805,33.79268292682927,0.3801341463414634,17.670731707317074,22.085365853658537,0.801109756097561,8.21951219512195,32.29268292682927,40.51219512195122,25.524390243902438,7.134146341463415,6.170731707317073,12.890243902439025,21.097560975609756,0.8536585365853658
19,BKN,22023,113.8,241.875,41.724999999999994,91.42500000000001,0.45794999999999997,13.575,37.5,0.36495,16.775,22.175,0.758,12.675,33.75,46.425,26.125,6.550000000000001,5.5,11.925,19.05,-1.8249999999999997
20,BOS,22014,101.3658536585366,242.5487804878049,38.9390243902439,87.9390243902439,0.44432926829268293,8.048780487804878,24.646341463414636,0.3261829268292683,15.439024390243903,20.46341463414634,0.7567439024390243,11.097560975609756,32.743902439024396,43.84146341463415,24.5,8.21951219512195,3.5853658536585367,13.26829268292683,21.195121951219512,0.1585365853658537
21,BOS,22015,105.71951219512195,241.3780487804878,39.21951219512195,89.2439024390244,0.4401341463414634,8.743902439024389,26.121951219512198,0.3353048780487805,18.53658536585366,23.524390243902438,0.7886951219512195,11.585365853658537,33.329268292682926,44.91463414634146,24.15853658536585,9.170731707317074,4.2439024390243905,13.463414634146343,21.902439024390244,3.2073170731707314
22,BOS,22016,108.01219512195122,241.2317073170732,38.63414634146341,85.08536585365854,0.4550243902439024,12.012195121951219,33.426829268292686,0.3587439024390244,18.73170731707317,23.20731707317073,0.8102317073170731,9.060975609756099,32.90243902439025,41.963414634146346,25.23170731707317,7.524390243902439,4.146341463414634,12.646341463414634,20.5609756097561,2.6341463414634148
23,BOS,22017,104.01219512195121,241.64634146341461,38.30487804878049,85.0609756097561,0.45128048780487806,11.451219512195122,30.390243902439025,0.38128048780487805,15.95121951219512,20.695121951219512,0.7716219512195122,9.353658536585366,35.09756097560975,44.451219512195124,22.46341463414634,7.365853658536585,4.548780487804878,13.304878048780488,19.73170731707317,3.5512195121951216
24,BOS,22018,112.39024390243902,241.2073170731707,42.08536585365854,90.52439024390245,0.4658292682926829,12.585365853658537,34.5,0.3630121951219512,15.634146341463415,19.48780487804878,0.8063780487804878,9.804878048780488,34.743902439024396,44.548780487804876,26.28048780487805,8.609756097560975,5.304878048780488,12.426829268292682,20.365853658536587,4.439024390243903
25,BOS,22019,113.65277777777777,242.18055555555554,41.263888888888886,89.55555555555556,0.4619166666666667,12.569444444444445,34.541666666666664,0.3658472222222222,18.555555555555557,23.166666666666664,0.8029166666666666,10.666666666666668,35.40277777777778,46.06944444444444,22.986111111111114,8.26388888888889,5.638888888888889,13.152777777777779,21.569444444444443,6.305555555555555
26,BOS,22020,112.625,241.29166666666669,41.45833333333333,88.90277777777777,0.4673611111111111,13.597222222222221,36.361111111111114,0.3754722222222222,16.11111111111111,20.77777777777778,0.7782916666666666,10.625,33.625,44.25,23.458333333333336,7.722222222222223,5.319444444444445,13.38888888888889,20.430555555555557,1.4583333333333333
27,BOS,22021,111.7560975609756,243.0121951219512,40.743902439024396,87.40243902439025,0.46708536585365856,13.23170731707317,37.1219512195122,0.3524390243902439,17.03658536585366,20.890243902439025,0.8164878048780488,10.524390243902438,35.548780487804876,46.07317073170732,24.829268292682926,7.2073170731707314,5.829268292682927,13.048780487804878,18.548780487804876,7.280487804878049
28,BOS,22022,117.9390243902439,243.90243902439025,42.19512195121951,88.7560975609756,0.4763048780487805,16.036585365853657,42.58536585365854,0.37540243902439024,17.51219512195122,21.573170731707314,0.8096463414634146,9.707317073170731,35.6219512195122,45.329268292682926,26.65853658536585,6.353658536585366,5.2439024390243905,12.71951219512195,18.804878048780488,6.45609756097561
29,BOS,22023,120.42857142857142,242.95238095238096,43.04761904761905,90.30952380952381,0.47671428571428576,16.166666666666664,42.595238095238095,0.38083333333333336,18.166666666666664,22.571428571428573,0.7993333333333332,10.952380952380953,36.35714285714286,47.30952380952381,25.42857142857143,6.428571428571429,6.285714285714286,12.047619047619047,17.42857142857143,9.714285714285715
30,CHA,22014,94.15853658536585,242.8292682926829,35.52439024390244,84.53658536585365,0.42063414634146346,6.073170731707317,19.097560975609756,0.31297560975609756,17.03658536585366,22.768292682926827,0.7475731707317073,10.0,34.0609756097561,44.0609756097561,20.170731707317074,6.085365853658537,5.463414634146341,11.170731707317074,18.21951219512195,-3.1463414634146343
31,CHA,22015,103.40243902439025,242.32926829268294,37.02439024390244,84.41463414634146,0.43896341463414634,10.646341463414634,29.390243902439025,0.36154878048780487,18.70731707317073,23.670731707317074,0.7951951219512196,8.951219512195122,34.98780487804878,43.9390243902439,21.682926829268293,7.2560975609756095,5.341463414634147,11.865853658536587,18.134146341463413,2.7195121951219514
32,CHA,22016,104.89024390243901,241.91463414634146,37.71951219512195,85.3658536585366,0.443109756097561,10.048780487804878,28.621951219512198,0.3480487804878049,19.402439024390244,23.817073170731707,0.8164756097560976,8.792682926829269,34.79268292682927,43.58536585365854,23.0609756097561,6.963414634146341,4.7560975609756095,10.963414634146343,16.585365853658537,0.19512195121951237
33,CHA,22017,108.21951219512195,241.2560975609756,38.98780487804878,86.65853658536585,0.4505975609756097,10.048780487804878,27.231707317073173,0.3628780487804878,20.195121951219512,27.024390243902438,0.7473658536585366,10.085365853658537,35.3780487804878,45.46341463414634,21.585365853658537,6.817073170731707,4.548780487804878,12.329268292682926,17.18292682926829,0.2926829268292682
34,CHA,22018,110.7439024390244,242.02439024390245,40.20731707317073,89.78048780487805,0.4486951219512195,11.914634146341463,33.9390243902439,0.3512073170731707,18.414634146341463,23.109756097560975,0.7924878048780488,9.926829268292682,33.8780487804878,43.804878048780495,23.231707317073173,7.2073170731707314,4.939024390243903,11.658536585365853,18.902439024390244,-1.146341463414634
35,CHA,22019,102.93643263757116,242.47865275142317,37.32827324478178,85.926944971537,0.4354701138519924,12.076375711574952,34.30028462998102,0.34947817836812145,16.203510436432637,21.659867172675522,0.7484525616698292,11.002846299810248,31.76707779886148,42.76992409867172,23.84819734345351,6.577324478178368,4.138994307400379,13.924098671726755,18.82068311195446,-6.689278937381404
36,CHA,22020,109.45833333333333,241.11111111111111,39.93055555555556,87.83333333333334,0.4553888888888889,13.680555555555557,37.02777777777778,0.36797222222222226,15.916666666666668,20.90277777777778,0.7547777777777778,10.583333333333334,33.18055555555556,43.763888888888886,26.84722222222222,7.847222222222221,4.777777777777779,14.180555555555555,18.02777777777778,-1.9305555555555556
37,CHA,22021,115.32926829268293,242.34146341463415,42.78048780487805,91.42682926829268,0.46993902439024393,13.939024390243901,38.170731707317074,0.3652073170731708,15.829268292682926,21.378048780487802,0.7422439024390244,10.829268292682926,33.743902439024396,44.57317073170732,28.073170731707318,8.621951219512194,4.902439024390244,12.707317073170731,19.865853658536587,0.4390243902439024
38,CHA,22022,110.95121951219512,241.7682926829268,41.28048780487805,90.40243902439025,0.4583414634146341,10.743902439024389,32.548780487804876,0.3294756097560976,17.646341463414636,23.573170731707314,0.7484024390243902,10.987804878048781,33.548780487804876,44.536585365853654,25.146341463414632,7.731707317073171,5.182926829268293,13.670731707317074,20.25609756097561,-6.2439024390243905
39,CHA,22023,108.86507936507937,241.4325396825397,40.84920634920635,89.25396825396825,0.4589761904761905,11.833333333333332,32.650793650793645,0.36041666666666666,15.333333333333332,19.25,0.8059642857142857,10.928571428571429,30.3968253968254,41.32539682539682,24.753968253968253,6.662698412698413,4.821428571428571,13.30952380952381,19.273809523809526,-11.44047619047619
40,CHI,22014,100.79268292682927,242.47560975609755,36.59756097560975,82.89024390243902,0.4431829268292683,7.865853658536585,22.25609756097561,0.3535853658536585,19.73170731707317,25.20731707317073,0.7818902439024391,11.695121951219512,34.048780487804876,45.74390243902439,21.71951219512195,6.2682926829268295,5.804878048780488,13.170731707317074,18.23170731707317,3.0
