Player_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
203991,28,7,11,0.636,0,0,0.0,3,3,1.0,7,8,15,2,1,3,1,3,17,10
203991,21,4,6,0.667,0,0,0.0,7,7,1.0,5,4,9,2,2,1,0,3,15,-9
203991,28,3,3,1.0,0,0,0.0,2,2,1.0,3,7,10,0,0,0,2,5,8,6
203991,30,8,11,0.727,0,0,0.0,4,4,1.0,5,7,12,1,0,2,1,2,20,2
1630168,27,2,4,0.5,0,2,0.0,1,3,0.333,1,3,4,3,0,0,0,3,5,-19
1630168,24,1,5,0.2,0,2,0.0,0,0,0.0,2,7,9,2,1,0,1,4,2,-8
1630168,18,3,7,0.429,0,2,0.0,1,2,0.5,4,4,8,2,0,2,0,5,7,-1
1630168,28,3,5,0.6,0,0,0.0,1,1,1.0,2,4,6,3,0,1,0,3,7,4
1630168,30,5,9,0.556,3,5,0.6,0,0,0.0,2,6,8,1,0,2,0,0,13,5
1630168,33,6,7,0.857,1,2,0.5,1,1,1.0,4,7,11,0,0,1,1,3,14,14
1630168,32,7,12,0.583,2,4,0.5,0,0,0.0,2,2,4,1,0,1,1,4,16,-15
1630168,23,5,6,0.833,0,0,0.0,4,4,1.0,0,2,2,1,0,1,2,2,14,0
1630168,33,8,11,0.727,0,1,0.0,3,4,0.75,1,10,11,2,0,0,0,1,19,12
1630168,26,4,7,0.571,0,1,0.0,1,2,0.5,4,3,7,1,1,2,0,3,9,-10
1631243,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-9
1631243,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
1628981,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
1628981,16,5,7,0.714,0,0,0.0,3,5,0.6,2,6,8,1,0,1,0,2,13,7
1628981,15,0,2,0.0,0,0,0.0,0,0,0.0,0,3,3,2,1,0,1,4,0,7
1628981,7,2,2,1.0,0,0,0.0,2,2,1.0,0,2,2,0,0,1,0,1,6,-2
1628981,17,3,4,0.75,0,0,0.0,2,9,0.222,2,3,5,0,1,3,1,2,8,8
